Illinois-Chicago,2023,NA
Incarnate Word,2023,NA
Indiana,2023,4
Indiana State,2023,NA
Iona,2023,13
Iowa,2023,8
Iowa State,2023,6
IUPUI,2023,NA
Jackson State,2023,NA
Jacksonville,2023,NA
Jacksonville State,2023,NA
James Madison,2023,NA
Kansas,2023,1
Kansas City,2023,NA
Kansas State,2023,3
Kennesaw State,2023,14
Kent State,2023,13
Kentucky,2023,6
La Salle,2023,NA
Lafayette,2023,13
Lamar,2023,NA
Lehigh,2023,NA
Liberty,2023,NA
Lindenwood,2023,NA
Lipscomb,2023,NA
Little Rock,2023,NA
Long Beach State,2023,NA
Long Island University,2023,NA
Longwood,2023,NA
Louisiana,2023,13
Louisiana State,2023,NA
Louisiana Tech,2023,NA
Louisiana-Monroe,2023,NA
Louisville,2023,NA
Loyola (IL),2023,NA
Loyola (MD),2023,NA
Loyola Marymount,2023,NA
Maine,2023,NA
Manhattan,2023,NA
Marist,2023,NA
Marquette,2023,2
Marshall,2023,NA
Maryland,2023,8
Maryland-Baltimore County,2023,NA
Maryland-Eastern Shore,2023,NA
Massachusetts,2023,NA
Massachusetts-Lowell,2023,NA
McNeese State,2023,NA
Memphis,2023,8
Mercer,2023,NA
Merrimack,2023,NA
Miami (FL),2023,5
Miami (OH),2023,NA
Michigan,2023,NA
Michigan State,2023,7
Middle Tennessee,2023,NA
Milwaukee,2023,NA
Minnesota,2023,NA
Mississippi,2023,NA
Mississippi State,2023,11
Mississippi Valley State,2023,NA
Missouri,2023,7
Missouri State,2023,NA
Monmouth,2023,NA
Montana,2023,NA
Montana State,2023,14
Morehead State,2023,NA
Morgan State,2023,NA
Mount St. Mary's,2023,NA
Murray State,2023,NA
Navy,2023,NA
NC State,2023,11
Nebraska,2023,NA
Nevada,2023,11
Nevada-Las Vegas,2023,NA
New Hampshire,2023,NA
New Mexico,2023,NA
New Mexico State,2023,NA
New Orleans,2023,NA
Niagara,2023,NA
Nicholls State,2023,NA
NJIT,2023,NA
Norfolk State,2023,NA
North Alabama,2023,NA
North Carolina,2023,NA
North Carolina A&T,2023,NA
North Carolina Central,2023,NA
North Dakota,2023,NA
North Dakota State,2023,NA
North Florida,2023,NA
North Texas,2023,NA
Northeastern,2023,NA
Northern Arizona,2023,NA
Northern Colorado,2023,NA
Northern Illinois,2023,NA
Northern Iowa,2023,NA
Northern Kentucky,2023,16
Northwestern,2023,7
Northwestern State,2023,NA
Notre Dame,2023,NA
Oakland,2023,NA
Ohio,2023,NA
Ohio State,2023,NA
Oklahoma,2023,NA
Oklahoma State,2023,NA
Old Dominion,2023,NA
Omaha,2023,NA
Oral Roberts,2023,12
Oregon,2023,NA
Oregon State,2023,NA
Pacific,2023,NA
Penn State,2023,10
Pennsylvania,2023,NA
Pepperdine,2023,NA
Pittsburgh,2023,11
Portland,2023,NA
Portland State,2023,NA
Prairie View,2023,NA
Presbyterian,2023,NA
Princeton,2023,15
Providence,2023,11
Purdue,2023,1
Purdue-Fort Wayne,2023,NA
Queens (NC),2023,NA
Quinnipiac,2023,NA
Radford,2023,NA
Rhode Island,2023,NA
Rice,2023,NA
Richmond,2023,NA
Rider,2023,NA
Robert Morris,2023,NA
Rutgers,2023,NA
Sacramento State,2023,NA
Sacred Heart,2023,NA
Saint Francis (PA),2023,NA
Saint Joseph's,2023,NA
Saint Louis,2023,NA
Saint Mary's (CA),2023,5
Saint Peter's,2023,NA
Sam Houston State,2023,NA
Samford,2023,NA
San Diego,2023,NA
San Diego State,2023,5
San Francisco,2023,NA
San Jose State,2023,NA
Santa Clara,2023,NA
Seattle,2023,NA
Seton Hall,2023,NA
Siena,2023,NA
South Alabama,2023,NA
South Carolina,2023,NA
South Carolina State,2023,NA
South Carolina Upstate,2023,NA
South Dakota,2023,NA
South Dakota State,2023,NA
South Florida,2023,NA
Southeast Missouri State,2023,16
Southeastern Louisiana,2023,NA
Southern,2023,NA
Southern California,2023,10
Southern Illinois,2023,NA
SIU Edwardsville,2023,NA
Southern Indiana,2023,NA
Southern Methodist,2023,NA
Southern Mississippi,2023,NA
Southern Utah,2023,NA
St. Bonaventure,2023,NA
St. Francis (NY),2023,NA
St. John's (NY),2023,NA
St. Thomas,2023,NA
Stanford,2023,NA
Stephen F. Austin,2023,NA
Stetson,2023,NA
Stonehill,2023,NA
Stony Brook,2023,NA
Syracuse,2023,NA
Tarleton State,2023,NA
TCU,2023,6
Temple,2023,NA
Tennessee,2023,4
Tennessee State,2023,NA
Tennessee Tech,2023,NA
Tennessee-Martin,2023,NA
Texas,2023,2
Texas A&M,2023,7
Texas A&M-Commerce,2023,NA
Texas A&M-Corpus Christi,2023,16
Texas Southern,2023,16
Texas State,2023,NA
Texas Tech,2023,NA
Texas-Rio Grande Valley,2023,NA
The Citadel,2023,NA
Toledo,2023,NA
Towson,2023,NA
Troy,2023,NA
Tulane,2023,NA
Tulsa,2023,NA
UAB,2023,NA
UC Davis,2023,NA
UC Irvine,2023,NA
UC Riverside,2023,NA
UC San Diego,2023,NA
UC Santa Barbara,2023,14
UCLA,2023,2
UNC Asheville,2023,15
UNC Greensboro,2023,NA
UNC Wilmington,2023,NA
UT Arlington,2023,NA
Utah,2023,NA
Utah State,2023,10
Utah Tech,2023,NA
Utah Valley,2023,NA
UTEP,2023,NA
UTSA,2023,NA
Valparaiso,2023,NA
Vanderbilt,2023,NA
Vermont,2023,15
Villanova,2023,NA
Virginia,2023,4
Virginia Commonwealth,2023,12
VMI,2023,NA
Virginia Tech,2023,NA
Wagner,2023,NA
Wake Forest,2023,NA
Washington,2023,NA
Washington State,2023,NA
Weber State,2023,NA
West Virginia,2023,9
Western Carolina,2023,NA
Western Illinois,2023,NA
Western Kentucky,2023,NA
Western Michigan,2023,NA
Wichita State,2023,NA
William & Mary,2023,NA
Winthrop,2023,NA
Wisconsin,2023,NA
Wofford,2023,NA
Wright State,2023,NA
Wyoming,2023,NA
Xavier,2023,3
Yale,2023,NA
Youngstown State,2023,NA
