team1,team2,winner,season,team1_seed,team2_seed
Kentucky,Utah,Kentucky,1998,2,3
Duke,Florida A&M,Duke,1999,1,16
College of Charleston,Tulsa,Tulsa,1999,8,9
Wisconsin,Missouri State,Missouri State,1999,5,12
Tennessee,Delaware,Tennessee,1999,4,13
Temple,Kent State,Temple,1999,6,11
Cincinnati,George Mason,Cincinnati,1999,3,14
Texas,Purdue,Purdue,1999,7,10
Miami (FL),Lafayette,Miami (FL),1999,2,15
Duke,Tulsa,Duke,1999,1,9
Missouri State,Tennessee,Missouri State,1999,12,4
Temple,Cincinnati,Temple,1999,6,3
Purdue,Miami (FL),Purdue,1999,10,2
Duke,Missouri State,Duke,1999,1,12
Temple,Purdue,Temple,1999,6,10
Duke,Temple,Duke,1999,1,6
Michigan State,Mount St. Mary's,Michigan State,1999,1,16
Villanova,Mississippi,Mississippi,1999,8,9
Charlotte,Rhode Island,Charlotte,1999,5,12
Arizona,Oklahoma,Oklahoma,1999,4,13
Kansas,Evansville,Kansas,1999,6,11
Kentucky,New Mexico State,Kentucky,1999,3,14
Washington,Miami (OH),Miami (OH),1999,7,10
Utah,Arkansas State,Utah,1999,2,15
Michigan State,Mississippi,Michigan State,1999,1,9
Charlotte,Oklahoma,Oklahoma,1999,5,13
Kansas,Kentucky,Kentucky,1999,6,3
Miami (OH),Utah,Miami (OH),1999,10,2
Michigan State,Oklahoma,Michigan State,1999,1,13
Kentucky,Miami (OH),Kentucky,1999,3,10
Michigan State,Kentucky,Michigan State,1999,1,3
Auburn,Winthrop,Auburn,1999,1,16
Syracuse,Oklahoma State,Oklahoma State,1999,8,9
UCLA,Detroit Mercy,Detroit Mercy,1999,5,12
Ohio State,Murray State,Ohio State,1999,4,13
Indiana,George Washington,Indiana,1999,6,11
St. John's (NY),Samford,St. John's (NY),1999,3,14
Louisville,Creighton,Creighton,1999,7,10
Maryland,Valparaiso,Maryland,1999,2,15
Auburn,Oklahoma State,Auburn,1999,1,9
Detroit Mercy,Ohio State,Ohio State,1999,12,4
Indiana,St. John's (NY),St. John's (NY),1999,6,3
Creighton,Maryland,Maryland,1999,10,2
Auburn,Ohio State,Ohio State,1999,1,4
St. John's (NY),Maryland,St. John's (NY),1999,3,2
Ohio State,St. John's (NY),Ohio State,1999,4,3
Connecticut,Texas-San Antonio,Connecticut,1999,1,16
Missouri,New Mexico,New Mexico,1999,8,9
Iowa,Alabama-Birmingham,Iowa,1999,5,12
Arkansas,Siena,Arkansas,1999,4,13
Florida,Pennsylvania,Florida,1999,6,11
North Carolina,Weber State,Weber State,1999,3,14
Minnesota,Gonzaga,Gonzaga,1999,7,10
Stanford,Alcorn State,Stanford,1999,2,15
Connecticut,New Mexico,Connecticut,1999,1,9
Iowa,Arkansas,Iowa,1999,5,4
Florida,Weber State,Florida,1999,6,14
Gonzaga,Stanford,Gonzaga,1999,10,2
Connecticut,Iowa,Connecticut,1999,1,5
Florida,Gonzaga,Gonzaga,1999,6,10
Connecticut,Gonzaga,Connecticut,1999,1,10
Connecticut,Ohio State,Connecticut,1999,1,4
Michigan State,Duke,Duke,1999,1,1
Connecticut,Duke,Connecticut,1999,1,1
Duke,Lamar,Duke,2000,1,16
Kansas,DePaul,Kansas,2000,8,9
Florida,Butler,Florida,2000,5,12
Illinois,Pennsylvania,Illinois,2000,4,13
Indiana,Pepperdine,Pepperdine,2000,6,11
Oklahoma State,Hofstra,Oklahoma State,2000,3,14
Oregon,Seton Hall,Seton Hall,2000,7,10
Temple,Lafayette,Temple,2000,2,15
Duke,Kansas,Duke,2000,1,8
Florida,Illinois,Florida,2000,5,4
Pepperdine,Oklahoma State,Oklahoma State,2000,11,3
Seton Hall,Temple,Seton Hall,2000,10,2
Duke,Florida,Florida,2000,1,5
Oklahoma State,Seton Hall,Oklahoma State,2000,3,10
Florida,Oklahoma State,Florida,2000,5,3
Michigan State,Valparaiso,Michigan State,2000,1,16
Utah,Saint Louis,Utah,2000,8,9
Kentucky,St. Bonaventure,Kentucky,2000,5,12
Syracuse,Samford,Syracuse,2000,4,13
UCLA,Ball State,UCLA,2000,6,11
Maryland,Iona,Maryland,2000,3,14
Auburn,Creighton,Auburn,2000,7,10
Iowa State,Central Connecticut State,Iowa State,2000,2,15
Michigan State,Utah,Michigan State,2000,1,8
Kentucky,Syracuse,Syracuse,2000,5,4
UCLA,Maryland,UCLA,2000,6,3
Auburn,Iowa State,Iowa State,2000,7,2
Michigan State,Syracuse,Michigan State,2000,1,4
UCLA,Iowa State,Iowa State,2000,6,2
Michigan State,Iowa State,Michigan State,2000,1,2
Stanford,South Carolina State,Stanford,2000,1,16
North Carolina,Missouri,North Carolina,2000,8,9
Connecticut,Utah State,Connecticut,2000,5,12
Tennessee,Louisiana,Tennessee,2000,4,13
Miami (FL),Arkansas,Miami (FL),2000,6,11
Ohio State,Appalachian State,Ohio State,2000,3,14
Tulsa,Nevada-Las Vegas,Tulsa,2000,7,10
Cincinnati,North Carolina-Wilmington,Cincinnati,2000,2,15
Stanford,North Carolina,North Carolina,2000,1,8
Connecticut,Tennessee,Tennessee,2000,5,4
Miami (FL),Ohio State,Miami (FL),2000,6,3
Tulsa,Cincinnati,Tulsa,2000,7,2
North Carolina,Tennessee,North Carolina,2000,8,4
Miami (FL),Tulsa,Tulsa,2000,6,7
North Carolina,Tulsa,North Carolina,2000,8,7
Arizona,Jackson State,Arizona,2000,1,16
Wisconsin,Fresno State,Wisconsin,2000,8,9
Texas,Indiana State,Texas,2000,5,12
Louisiana State,Southeast Missouri State,Louisiana State,2000,4,13
Purdue,Dayton,Purdue,2000,6,11
Oklahoma,Winthrop,Oklahoma,2000,3,14
Louisville,Gonzaga,Gonzaga,2000,7,10
St. John's (NY),Northern Arizona,St. John's (NY),2000,2,15
Arizona,Wisconsin,Wisconsin,2000,1,8
Texas,Louisiana State,Louisiana State,2000,5,4
Purdue,Oklahoma,Purdue,2000,6,3
Gonzaga,St. John's (NY),Gonzaga,2000,10,2
Wisconsin,Louisiana State,Wisconsin,2000,8,4
Purdue,Gonzaga,Purdue,2000,6,10
Wisconsin,Purdue,Wisconsin,2000,8,6
Michigan State,Wisconsin,Michigan State,2000,1,8
North Carolina,Florida,Florida,2000,8,5
Michigan State,Florida,Michigan State,2000,1,5
Illinois,Northwestern State,Illinois,2001,1,16
Tennessee,Charlotte,Charlotte,2001,8,9
Syracuse,Hawaii,Syracuse,2001,5,12
Kansas,Cal State Northridge,Kansas,2001,4,13
Notre Dame,Xavier,Notre Dame,2001,6,11
Mississippi,Iona,Mississippi,2001,3,14
Wake Forest,Butler,Butler,2001,7,10
Arizona,Eastern Illinois,Arizona,2001,2,15
Illinois,Charlotte,Illinois,2001,1,9
Syracuse,Kansas,Kansas,2001,5,4
Notre Dame,Mississippi,Mississippi,2001,6,3
Butler,Arizona,Arizona,2001,10,2
Illinois,Kansas,Illinois,2001,1,4
Mississippi,Arizona,Arizona,2001,3,2
Illinois,Arizona,Arizona,2001,1,2
Duke,Monmouth,Duke,2001,1,16
Georgia,Missouri,Missouri,2001,8,9
Ohio State,Utah State,Utah State,2001,5,12
UCLA,Hofstra,UCLA,2001,4,13
Southern California,Oklahoma State,Southern California,2001,6,11
Boston College,Southern Utah,Boston College,2001,3,14
Iowa,Creighton,Iowa,2001,7,10
Kentucky,Holy Cross,Kentucky,2001,2,15
Duke,Missouri,Duke,2001,1,9
Utah State,UCLA,UCLA,2001,12,4
Southern California,Boston College,Southern California,2001,6,3
Iowa,Kentucky,Kentucky,2001,7,2
Duke,UCLA,Duke,2001,1,4
Southern California,Kentucky,Southern California,2001,6,2
Duke,Southern California,Duke,2001,1,6
Michigan State,Alabama State,Michigan State,2001,1,16
University of California,Fresno State,Fresno State,2001,8,9
Virginia,Gonzaga,Gonzaga,2001,5,12
Oklahoma,Indiana State,Indiana State,2001,4,13
Texas,Temple,Temple,2001,6,11
Florida,Western Kentucky,Florida,2001,3,14
Penn State,Providence,Penn State,2001,7,10
North Carolina,Princeton,North Carolina,2001,2,15
Michigan State,Fresno State,Michigan State,2001,1,9
Gonzaga,Indiana State,Gonzaga,2001,12,13
Temple,Florida,Temple,2001,11,3
Penn State,North Carolina,Penn State,2001,7,2
Michigan State,Gonzaga,Michigan State,2001,1,12
Temple,Penn State,Temple,2001,11,7
Michigan State,Temple,Michigan State,2001,1,11
Stanford,North Carolina-Greensboro,Stanford,2001,1,16
Georgia Tech,Saint Joseph's,Saint Joseph's,2001,8,9
Cincinnati,Brigham Young,Cincinnati,2001,5,12
Indiana,Kent State,Kent State,2001,4,13
Wisconsin,Georgia State,Georgia State,2001,6,11
Maryland,George Mason,Maryland,2001,3,14
Arkansas,Georgetown,Georgetown,2001,7,10
Iowa State,Hampton,Hampton,2001,2,15
Stanford,Saint Joseph's,Stanford,2001,1,9
Cincinnati,Kent State,Cincinnati,2001,5,13
Georgia State,Maryland,Maryland,2001,11,3
Georgetown,Hampton,Georgetown,2001,10,15
Stanford,Cincinnati,Stanford,2001,1,5
Maryland,Georgetown,Maryland,2001,3,10
Stanford,Maryland,Maryland,2001,1,3
Duke,Maryland,Duke,2001,1,3
Michigan State,Arizona,Arizona,2001,1,2
Duke,Arizona,Duke,2001,1,2
Maryland,Siena,Maryland,2002,1,16
Wisconsin,St. John's (NY),Wisconsin,2002,8,9
Marquette,Tulsa,Tulsa,2002,5,12
Kentucky,Valparaiso,Kentucky,2002,4,13
Texas Tech,Southern Illinois,Southern Illinois,2002,6,11
Georgia,Murray State,Georgia,2002,3,14
North Carolina State,Michigan State,North Carolina State,2002,7,10
Connecticut,Hampton,Connecticut,2002,2,15
Maryland,Wisconsin,Maryland,2002,1,8
Tulsa,Kentucky,Kentucky,2002,12,4
Southern Illinois,Georgia,Southern Illinois,2002,11,3
North Carolina State,Connecticut,Connecticut,2002,7,2
Maryland,Kentucky,Maryland,2002,1,4
Southern Illinois,Connecticut,Connecticut,2002,11,2
Maryland,Connecticut,Maryland,2002,1,2
Kansas,Holy Cross,Kansas,2002,1,16
Stanford,Western Kentucky,Stanford,2002,8,9
Florida,Creighton,Creighton,2002,5,12
Illinois,San Diego State,Illinois,2002,4,13
Texas,Boston College,Texas,2002,6,11
Mississippi State,McNeese State,Mississippi State,2002,3,14
Wake Forest,Pepperdine,Wake Forest,2002,7,10
Oregon,Montana,Oregon,2002,2,15
Kansas,Stanford,Kansas,2002,1,8
Creighton,Illinois,Illinois,2002,12,4
Texas,Mississippi State,Texas,2002,6,3
Wake Forest,Oregon,Oregon,2002,7,2
Kansas,Illinois,Kansas,2002,1,4
Texas,Oregon,Oregon,2002,6,2
Kansas,Oregon,Kansas,2002,1,2
Duke,Winthrop,Duke,2002,1,16
Notre Dame,Charlotte,Notre Dame,2002,8,9
Indiana,Utah,Indiana,2002,5,12
Southern California,North Carolina-Wilmington,North Carolina-Wilmington,2002,4,13
University of California,Pennsylvania,University of California,2002,6,11
Pittsburgh,Central Connecticut State,Pittsburgh,2002,3,14
Oklahoma State,Kent State,Kent State,2002,7,10
Alabama,Florida Atlantic,Alabama,2002,2,15
Duke,Notre Dame,Duke,2002,1,8
Indiana,North Carolina-Wilmington,Indiana,2002,5,13
University of California,Pittsburgh,Pittsburgh,2002,6,3
Kent State,Alabama,Kent State,2002,10,2
Duke,Indiana,Indiana,2002,1,5
Pittsburgh,Kent State,Kent State,2002,3,10
Indiana,Kent State,Indiana,2002,5,10
Cincinnati,Boston University,Cincinnati,2002,1,16
UCLA,Mississippi,UCLA,2002,8,9
Miami (FL),Missouri,Missouri,2002,5,12
Ohio State,Davidson,Ohio State,2002,4,13
Gonzaga,Wyoming,Wyoming,2002,6,11
Arizona,UC-Santa Barbara,Arizona,2002,3,14
Xavier,Hawaii,Xavier,2002,7,10
Oklahoma,Illinois-Chicago,Oklahoma,2002,2,15
Cincinnati,UCLA,UCLA,2002,1,8
Missouri,Ohio State,Missouri,2002,12,4
Wyoming,Arizona,Arizona,2002,11,3
Xavier,Oklahoma,Oklahoma,2002,7,2
UCLA,Missouri,Missouri,2002,8,12
Arizona,Oklahoma,Oklahoma,2002,3,2
Missouri,Oklahoma,Oklahoma,2002,12,2
Maryland,Kansas,Maryland,2002,1,1
Oklahoma,Indiana,Indiana,2002,2,5
Maryland,Indiana,Maryland,2002,1,5
Texas,North Carolina-Asheville,Texas,2003,1,16
Louisiana State,Purdue,Purdue,2003,8,9
Connecticut,Brigham Young,Connecticut,2003,5,12
Stanford,San Diego,Stanford,2003,4,13
Maryland,North Carolina-Wilmington,Maryland,2003,6,11
Xavier,Troy,Xavier,2003,3,14
Michigan State,Colorado,Michigan State,2003,7,10
Florida,Sam Houston State,Florida,2003,2,15
Texas,Purdue,Texas,2003,1,9
Connecticut,Stanford,Connecticut,2003,5,4
Maryland,Xavier,Maryland,2003,6,3
Michigan State,Florida,Michigan State,2003,7,2
Texas,Connecticut,Texas,2003,1,5
Maryland,Michigan State,Michigan State,2003,6,7
Texas,Michigan State,Texas,2003,1,7
Oklahoma,South Carolina State,Oklahoma,2003,1,16
University of California,North Carolina State,University of California,2003,8,9
Mississippi State,Butler,Butler,2003,5,12
Louisville,Austin Peay,Louisville,2003,4,13
Oklahoma State,Pennsylvania,Oklahoma State,2003,6,11
Syracuse,Manhattan,Syracuse,2003,3,14
Saint Joseph's,Auburn,Auburn,2003,7,10
Wake Forest,East Tennessee State,Wake Forest,2003,2,15
Oklahoma,University of California,Oklahoma,2003,1,8
Butler,Louisville,Butler,2003,12,4
Oklahoma State,Syracuse,Syracuse,2003,6,3
Auburn,Wake Forest,Auburn,2003,10,2
Oklahoma,Butler,Oklahoma,2003,1,12
Syracuse,Auburn,Syracuse,2003,3,10
Oklahoma,Syracuse,Syracuse,2003,1,3
Kentucky,IUPUI,Kentucky,2003,1,16
Oregon,Utah,Utah,2003,8,9
Wisconsin,Weber State,Wisconsin,2003,5,12
Dayton,Tulsa,Tulsa,2003,4,13
Missouri,Southern Illinois,Missouri,2003,6,11
Marquette,Holy Cross,Marquette,2003,3,14
Indiana,Alabama,Indiana,2003,7,10
Pittsburgh,Wagner,Pittsburgh,2003,2,15
Kentucky,Utah,Kentucky,2003,1,9
Wisconsin,Tulsa,Wisconsin,2003,5,13
Missouri,Marquette,Marquette,2003,6,3
Indiana,Pittsburgh,Pittsburgh,2003,7,2
Kentucky,Wisconsin,Kentucky,2003,1,5
Marquette,Pittsburgh,Marquette,2003,3,2
Kentucky,Marquette,Marquette,2003,1,3
Arizona,Vermont,Arizona,2003,1,16
Cincinnati,Gonzaga,Gonzaga,2003,8,9
Notre Dame,Milwaukee,Notre Dame,2003,5,12
Illinois,Western Kentucky,Illinois,2003,4,13
Creighton,Central Michigan,Central Michigan,2003,6,11
Duke,Colorado State,Duke,2003,3,14
Memphis,Arizona State,Arizona State,2003,7,10
Kansas,Utah State,Kansas,2003,2,15
Arizona,Gonzaga,Arizona,2003,1,9
Notre Dame,Illinois,Notre Dame,2003,5,4
Central Michigan,Duke,Duke,2003,11,3
Arizona State,Kansas,Kansas,2003,10,2
Arizona,Notre Dame,Arizona,2003,1,5
Duke,Kansas,Kansas,2003,3,2
Arizona,Kansas,Kansas,2003,1,2
Syracuse,Texas,Syracuse,2003,3,1
Marquette,Kansas,Kansas,2003,3,2
Syracuse,Kansas,Syracuse,2003,3,2
Kentucky,Florida A&M,Kentucky,2004,1,16
Washington,Alabama-Birmingham,Alabama-Birmingham,2004,8,9
Providence,Pacific,Pacific,2004,5,12
Kansas,Illinois-Chicago,Kansas,2004,4,13
Boston College,Utah,Boston College,2004,6,11
Georgia Tech,Northern Iowa,Georgia Tech,2004,3,14
Michigan State,Nevada,Nevada,2004,7,10
Gonzaga,Valparaiso,Gonzaga,2004,2,15
Kentucky,Alabama-Birmingham,Alabama-Birmingham,2004,1,9
Pacific,Kansas,Kansas,2004,12,4
Boston College,Georgia Tech,Georgia Tech,2004,6,3
Nevada,Gonzaga,Nevada,2004,10,2
Alabama-Birmingham,Kansas,Kansas,2004,9,4
Georgia Tech,Nevada,Georgia Tech,2004,3,10
Kansas,Georgia Tech,Georgia Tech,2004,4,3
Duke,Alabama State,Duke,2004,1,16
Seton Hall,Arizona,Seton Hall,2004,8,9
Illinois,Murray State,Illinois,2004,5,12
Cincinnati,East Tennessee State,Cincinnati,2004,4,13
North Carolina,Air Force,North Carolina,2004,6,11
Texas,Princeton,Texas,2004,3,14
Xavier,Louisville,Xavier,2004,7,10
Mississippi State,Monmouth,Mississippi State,2004,2,15
Duke,Seton Hall,Duke,2004,1,8
Illinois,Cincinnati,Illinois,2004,5,4
North Carolina,Texas,Texas,2004,6,3
Xavier,Mississippi State,Xavier,2004,7,2
Duke,Illinois,Duke,2004,1,5
Texas,Xavier,Xavier,2004,3,7
Duke,Xavier,Duke,2004,1,7
Saint Joseph's,Liberty,Saint Joseph's,2004,1,16
Texas Tech,Charlotte,Texas Tech,2004,8,9
Florida,Manhattan,Manhattan,2004,5,12
Wake Forest,Virginia Commonwealth,Wake Forest,2004,4,13
Wisconsin,Richmond,Wisconsin,2004,6,11
Pittsburgh,Central Florida,Pittsburgh,2004,3,14
Memphis,South Carolina,Memphis,2004,7,10
Oklahoma State,Eastern Washington,Oklahoma State,2004,2,15
Saint Joseph's,Texas Tech,Saint Joseph's,2004,1,8
Manhattan,Wake Forest,Wake Forest,2004,12,4
Wisconsin,Pittsburgh,Pittsburgh,2004,6,3
Memphis,Oklahoma State,Oklahoma State,2004,7,2
Saint Joseph's,Wake Forest,Saint Joseph's,2004,1,4
Pittsburgh,Oklahoma State,Oklahoma State,2004,3,2
Saint Joseph's,Oklahoma State,Oklahoma State,2004,1,2
Stanford,Texas-San Antonio,Stanford,2004,1,16
Alabama,Southern Illinois,Alabama,2004,8,9
Syracuse,Brigham Young,Syracuse,2004,5,12
Maryland,Texas-El Paso,Maryland,2004,4,13
Vanderbilt,Western Michigan,Vanderbilt,2004,6,11
North Carolina State,Louisiana,North Carolina State,2004,3,14
DePaul,Dayton,DePaul,2004,7,10
Connecticut,Vermont,Connecticut,2004,2,15
Stanford,Alabama,Alabama,2004,1,8
Syracuse,Maryland,Syracuse,2004,5,4
Vanderbilt,North Carolina State,Vanderbilt,2004,6,3
DePaul,Connecticut,Connecticut,2004,7,2
Alabama,Syracuse,Alabama,2004,8,5
Vanderbilt,Connecticut,Connecticut,2004,6,2
Alabama,Connecticut,Connecticut,2004,8,2
Connecticut,Duke,Connecticut,2004,2,1
Oklahoma State,Georgia Tech,Georgia Tech,2004,2,3
Connecticut,Georgia Tech,Connecticut,2004,2,3
North Carolina,Oakland,North Carolina,2005,1,16
Minnesota,Iowa State,Iowa State,2005,8,9
